optimizer_name,dataset_name,model_name,num_parameters,num_epochs,train_loss_ep1,train_loss_ep2,train_loss_ep3,train_loss_ep4,train_loss_ep5,train_loss_ep6,train_loss_ep7,train_loss_ep8,train_loss_ep9,train_loss_ep10,train_acc_ep1,train_acc_ep2,train_acc_ep3,train_acc_ep4,train_acc_ep5,train_acc_ep6,train_acc_ep7,train_acc_ep8,train_acc_ep9,train_acc_ep10,test_loss,test_accuracy,sparsity_before_pruning,test_acc_after_pruning_50%,test_acc_after_pruning_20%,test_acc_after_pruning_10%,execution_time
PrunAdag_v1,FashionMNIST,CNN,421642,10,0.59257,0.42703,0.39157,0.37450,0.36248,0.35330,0.34628,0.33856,0.33364,0.32890,0.78357,0.85037,0.86300,0.87038,0.87455,0.87665,0.87893,0.88268,0.88380,0.88552,0.35384,0.87240,0.09665,0.87460,0.87360,0.87250,167.16462
PrunAdag_v1,FashionMNIST,MLP,235146,10,0.66389,0.51518,0.47866,0.45707,0.44361,0.43287,0.42486,0.41713,0.41112,0.40638,0.76830,0.82205,0.83265,0.84095,0.84483,0.84925,0.85263,0.85457,0.85745,0.85893,0.43445,0.84440,0.03111,0.84440,0.84430,0.84640,58.48205
PrunAdag_v1,MNIST,CNN,421642,10,0.26153,0.11946,0.09737,0.08496,0.07686,0.07212,0.06751,0.06331,0.06064,0.05798,0.92053,0.96578,0.97190,0.97590,0.97778,0.97907,0.97992,0.98168,0.98247,0.98307,0.05277,0.98280,0.07486,0.98300,0.98210,0.98150,172.16602
PrunAdag_v1,MNIST,MLP,235146,10,0.42082,0.27110,0.23108,0.20482,0.18582,0.17083,0.15943,0.14980,0.14162,0.13447,0.88347,0.92415,0.93560,0.94208,0.94853,0.95185,0.95538,0.95828,0.96040,0.96302,0.12838,0.96180,0.04893,0.96170,0.96200,0.96190,56.70226
PrunAdag_v2,FashionMNIST,CNN,421642,10,0.59316,0.42307,0.38691,0.36937,0.35740,0.34832,0.34137,0.33366,0.32866,0.32367,0.78375,0.85110,0.86412,0.87157,0.87593,0.87783,0.88050,0.88352,0.88527,0.88670,0.34986,0.87290,0.09001,0.87430,0.87120,0.86910,169.40800
PrunAdag_v2,FashionMNIST,MLP,235146,10,0.66110,0.51266,0.47722,0.45595,0.44281,0.43237,0.42487,0.41722,0.41130,0.40642,0.76893,0.82283,0.83247,0.84090,0.84477,0.84887,0.85190,0.85383,0.85708,0.85810,0.43511,0.84480,0.03059,0.84480,0.84550,0.84590,59.59618
PrunAdag_v2,MNIST,CNN,421642,10,0.26367,0.12245,0.09990,0.08698,0.07851,0.07360,0.06878,0.06437,0.06152,0.05871,0.91980,0.96462,0.97100,0.97517,0.97738,0.97865,0.97955,0.98137,0.98167,0.98287,0.05389,0.98250,0.06985,0.98290,0.98190,0.98120,175.29975
PrunAdag_v2,MNIST,MLP,235146,10,0.42052,0.27047,0.23043,0.20396,0.18484,0.16981,0.15844,0.14913,0.14119,0.13415,0.88335,0.92415,0.93562,0.94240,0.94847,0.95235,0.95557,0.95823,0.96042,0.96248,0.12718,0.96220,0.05513,0.96230,0.96240,0.96200,57.28308
PrunAdag_v3,FashionMNIST,CNN,421642,10,0.55356,0.39665,0.37592,0.36493,0.35611,0.34913,0.34351,0.33667,0.33298,0.32868,0.79860,0.86127,0.86980,0.87423,0.87685,0.87887,0.88075,0.88335,0.88488,0.88618,0.35909,0.87370,0.00000,0.87550,0.87580,0.86640,169.13822
PrunAdag_v3,FashionMNIST,MLP,235146,10,0.58774,0.45626,0.44029,0.43019,0.42435,0.41858,0.41439,0.40994,0.40596,0.40258,0.79282,0.84348,0.84822,0.85238,0.85452,0.85732,0.85792,0.85975,0.86155,0.86255,0.43254,0.84830,0.00000,0.84830,0.84820,0.83430,62.28500
