optimizer_name,dataset_name,model_name,seed,num_parameters,num_epochs,train_loss_ep1,train_loss_ep2,train_loss_ep3,train_loss_ep4,train_loss_ep5,train_loss_ep6,train_loss_ep7,train_loss_ep8,train_loss_ep9,train_loss_ep10,train_acc_ep1,train_acc_ep2,train_acc_ep3,train_acc_ep4,train_acc_ep5,train_acc_ep6,train_acc_ep7,train_acc_ep8,train_acc_ep9,train_acc_ep10,test_loss,test_accuracy,sparsity_before_pruning,test_acc_after_pruning_50%,test_acc_after_pruning_20%,test_acc_after_pruning_10%,execution_time
Adam,MNIST,MLP,43,235146,10,0.26951,0.10471,0.07153,0.05141,0.03970,0.03152,0.02445,0.02357,0.01830,0.01766,0.92155,0.96823,0.97768,0.98378,0.98697,0.98990,0.99193,0.99215,0.99362,0.99387,0.08886,0.98080,0.00000,0.97920,0.96560,0.89750,17.58535
PrunAdag_v1,MNIST,MLP,43,235146,10,0.00910,0.00458,0.00522,0.00826,0.01641,0.03184,0.04947,0.06105,0.06567,0.06510,0.99755,0.99962,0.99962,0.99933,0.99815,0.99523,0.99008,0.98687,0.98560,0.98530,0.07851,0.97830,0.00622,0.97830,0.97860,0.97690,57.86861
Adam,MNIST,CNN,43,421642,10,0.16275,0.04873,0.03315,0.02569,0.01754,0.01370,0.01161,0.00993,0.00813,0.00799,0.95033,0.98478,0.98953,0.99185,0.99407,0.99593,0.99625,0.99667,0.99738,0.99718,0.03597,0.99060,0.00000,0.99050,0.98780,0.96950,112.61060
PrunAdag_v1,MNIST,CNN,43,421642,10,0.00344,0.00247,0.00311,0.00583,0.01331,0.02318,0.02883,0.03151,0.03359,0.03382,0.99923,0.99958,0.99958,0.99923,0.99748,0.99527,0.99405,0.99292,0.99225,0.99180,0.03925,0.98730,0.00552,0.98890,0.98870,0.98630,176.39554
Adam,FashionMNIST,MLP,43,235146,10,0.47718,0.34382,0.30758,0.28348,0.26638,0.25196,0.23681,0.22399,0.21393,0.20314,0.82858,0.87345,0.88645,0.89418,0.89922,0.90478,0.91030,0.91498,0.91925,0.92318,0.32704,0.88910,0.00000,0.88720,0.80310,0.64920,18.36620
PrunAdag_v1,FashionMNIST,MLP,43,235146,10,0.23718,0.30617,0.34119,0.34992,0.35050,0.34615,0.34163,0.33714,0.33351,0.32928,0.91655,0.89863,0.88687,0.88348,0.88318,0.88230,0.88395,0.88587,0.88587,0.88788,0.37787,0.86970,0.02644,0.86960,0.86950,0.87030,61.11074
Adam,FashionMNIST,CNN,43,421642,10,0.45643,0.28745,0.24552,0.21632,0.19152,0.17281,0.15307,0.13812,0.12075,0.10715,0.83703,0.89572,0.90973,0.92018,0.93005,0.93560,0.94415,0.94965,0.95530,0.96015,0.23897,0.92340,0.00000,0.92300,0.89730,0.84330,113.75554
PrunAdag_v1,FashionMNIST,CNN,43,421642,10,0.17923,0.28715,0.31073,0.30781,0.30158,0.29667,0.29241,0.28883,0.28563,0.28100,0.93933,0.90487,0.89740,0.89767,0.89963,0.89935,0.90163,0.90210,0.90233,0.90367,0.31411,0.89120,0.06490,0.89230,0.89300,0.89140,179.95979
Adam,MNIST,MLP,44,235146,10,0.26936,0.10122,0.06772,0.05118,0.03854,0.03025,0.02530,0.02251,0.02045,0.01949,0.91987,0.96872,0.97848,0.98403,0.98745,0.99022,0.99163,0.99237,0.99303,0.99318,0.07895,0.97980,0.00000,0.97920,0.97030,0.93610,18.16948
PrunAdag_v1,MNIST,MLP,44,235146,10,0.00844,0.00409,0.00418,0.00564,0.00927,0.01749,0.03250,0.04840,0.05814,0.06213,0.99772,0.99952,0.99970,0.99972,0.99917,0.99807,0.99477,0.99020,0.98722,0.98550,0.07582,0.97910,0.00276,0.97890,0.97970,0.97820,57.58636
Adam,MNIST,CNN,44,421642,10,0.16885,0.04704,0.03206,0.02575,0.01794,0.01470,0.01140,0.01060,0.00879,0.00597,0.95018,0.98582,0.99023,0.99183,0.99438,0.99533,0.99643,0.99658,0.99702,0.99782,0.03153,0.99140,0.00000,0.99170,0.99020,0.97030,239.30111
PrunAdag_v1,MNIST,CNN,44,421642,10,0.00404,0.00264,0.00392,0.00873,0.01961,0.03072,0.03713,0.03984,0.04137,0.04087,0.99885,0.99957,0.99937,0.99850,0.99627,0.99353,0.99190,0.99067,0.98955,0.99002,0.04482,0.98820,0.00790,0.98880,0.98640,0.98250,177.00171
